,country,continent_name,monthly_internet_cost_2018,internet_percent_of_population,population_2018,population_2024,gni_2018,gni_2024,annual_internet_cost_2018,annual_cost_percent_GNI_2018,annual_internet_cost_2024,annual_cost_percent_GNI_2024,sat_annual_cost_per_gni_2018,sat_annual_cost_per_gni_2024
74,Albania,Europe,20.55,0.71847,2880000.0,2830000.0,5060.0,6160.0,246.60000000000002,0.048735177865612656,332.2168466634361,0.05393130627653184,0.1422924901185771,0.1344155844155844
75,Austria,Europe,35.99,0.877105,8840000.0,8980000.0,51000.0,53200.0,431.88,0.008468235294117646,581.8240540835554,0.010936542369991644,0.01411764705882353,0.01556390977443609
76,Azerbaijan,Europe,16.76,0.798,10200000.0,10500000.0,4250.0,4600.0,201.12,0.047322352941176475,270.9466837021503,0.058901452978728334,0.16941176470588235,0.18
77,Belarus,Europe,9.87,0.791299,9700000.0,9460000.0,5970.0,6740.0,118.44,0.0198391959798995,159.5610840179131,0.0236737513379693,0.12060301507537688,0.1228486646884273
78,Belgium,Europe,44.39,0.886551,11400000.0,11700000.0,47900.0,50100.0,532.6800000000001,0.011120668058455116,717.6207213328432,0.014323766892871122,0.015031315240083507,0.01652694610778443
79,Bosnia and Herzegovina,Europe,20.19,0.701201,3400000.0,3190000.0,5990.0,7010.0,242.28000000000003,0.04044741235392321,326.39698949560943,0.0465616247497303,0.12020033388981637,0.1181169757489301
80,Bulgaria,Europe,15.93,0.64782,7120000.0,6620000.0,8880.0,11500.0,191.16,0.021527027027027027,257.5286796763279,0.022393798232724166,0.08108108108108109,0.072
81,Croatia,Europe,33.69,0.726888,4160000.0,3990000.0,14900.0,17700.0,404.28,0.027132885906040266,544.6416332891076,0.030770713745147324,0.04832214765100671,0.04677966101694915
82,Cyprus,Europe,49.39,0.844336,1220000.0,1270000.0,28100.0,28300.0,592.6800000000001,0.02109181494661922,798.4520708859908,0.028213854094911336,0.025622775800711744,0.029257950530035336
83,Czech Republic,Europe,22.38,0.806882,10500000.0,10500000.0,21400.0,25400.0,268.56,0.012549532710280373,361.80112059988807,0.014244138606294806,0.03364485981308411,0.03259842519685039
84,Denmark,Europe,48.23,0.976443,5770000.0,5940000.0,63800.0,68200.0,578.76,0.009071473354231975,779.6991977896604,0.011432539557033144,0.01128526645768025,0.012140762463343108
85,Estonia,Europe,28.93,0.89357,1320000.0,1320000.0,22200.0,26700.0,347.15999999999997,0.015637837837837835,467.6901885145112,0.01751648646121765,0.032432432432432434,0.031011235955056178
86,Finland,Europe,43.85,0.8889,5520000.0,5550000.0,50200.0,53500.0,526.2,0.010482071713147412,708.8909355811035,0.013250297861329037,0.014342629482071713,0.015476635514018691
87,France,Europe,27.81,0.820435,64300000.0,64900000.00000001,42900.0,44400.0,333.71999999999997,0.007779020979020978,449.5839662146062,0.010125765004833474,0.016783216783216783,0.01864864864864865
